"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"150",5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0
"151",2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0
"152",0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0
"153",0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17
"154",0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1
"155",0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0
"156",0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0
"157",0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7
"158",0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0
"160",2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0
"161",0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0
"162",0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0
"163",0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0
"164",0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0,2
"165",4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9,0
"166",0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,9
"167",0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0
"168",0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0
"169",0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0
"170",0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0
"171",0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0
"172",0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0
"173",0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0
"174",0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0
"175",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,1
"176",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0
"177",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0
"178",1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0
"179",0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5
"180",11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"181",0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
"182",0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
"183",0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
"184",0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
"185",0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0
